Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,WMT
2022-03-10,155.61146545410156,146.8175048828125,131.5223846435547,152.83766174316406,119.42903900146484,277.421630859375,132.74282836914062,279.4333190917969,192.78628540039062,45.218299865722656
2022-03-11,151.8910369873047,145.52450561523438,128.98089599609375,152.55838012695312,116.739013671875,272.0595397949219,131.16758728027344,265.1166687011719,191.5592498779297,45.0407600402832
2022-03-14,147.85641479492188,141.85299682617188,125.08824157714844,154.66635131835938,117.89836883544922,268.5333251953125,132.84356689453125,255.4566650390625,195.08447265625,45.66848373413086
2022-03-15,152.24440002441406,147.3665008544922,128.31301879882812,158.67514038085938,119.99059295654297,278.93701171875,137.62432861328125,267.2966613769531,200.74232482910156,46.216941833496094
2022-03-16,156.6618194580078,153.10400390625,132.3675537109375,157.2157745361328,125.35246276855469,285.9699401855469,137.15724182128906,280.07666015625,206.32229614257812,46.080631256103516
2022-03-17,157.67294311523438,157.23899841308594,132.92222595214844,159.2696990966797,126.93749237060547,286.7761535644531,137.58767700195312,290.5333251953125,207.8609161376953,46.15064239501953
2022-03-18,160.97128295898438,161.25050354003906,135.19305419921875,157.50404357910156,126.8922119140625,291.837158203125,137.514404296875,301.7966613769531,213.37274169921875,46.287498474121094
2022-03-21,162.34561157226562,161.4915008544922,135.16921997070312,158.3958740234375,126.48464965820312,290.603515625,138.0364532470703,307.0533447265625,211.3568878173828,45.90240478515625
2022-03-22,165.72250366210938,164.88900756835938,138.90992736816406,157.64817810058594,129.17462158203125,295.3634033203125,139.09884643554688,331.32666015625,212.74948120117188,45.76554870605469
2022-03-23,167.08700561523438,163.4080047607422,137.3283233642578,157.05360412597656,126.60235595703125,290.9240417480469,138.12806701660156,333.03668212890625,209.0587158203125,45.17677307128906
2022-03-24,170.87615966796875,163.64950561523438,140.60226440429688,157.86436462402344,127.4266128540039,295.4022216796875,138.3661346435547,337.97332763671875,211.61985778808594,45.45683670043945
2022-03-25,171.51425170898438,164.77349853515625,140.7025604248047,159.37783813476562,128.54061889648438,294.9942626953125,139.96890258789062,336.8800048828125,212.7105255126953,45.6541633605957
2022-03-28,172.37811279296875,168.99049377441406,140.48655700683594,160.1975860595703,127.5896224975586,301.8134765625,140.9305419921875,363.9466552734375,214.98924255371094,46.465721130371094
2022-03-29,175.6764373779297,169.31500244140625,141.5293426513672,160.11648559570312,127.87039184570312,306.38873291015625,142.37757873535156,366.5233459472656,222.1467742919922,46.857177734375
2022-03-30,174.50828552246094,166.30099487304688,140.9662322998047,161.78305053710938,127.29074096679688,304.883056640625,141.39759826660156,364.663330078125,218.0859832763672,47.6973762512207
2022-03-31,171.40626525878906,162.99749755859375,138.1149139404297,159.65707397460938,123.4686050415039,299.4918212890625,139.94143676757812,359.20001220703125,215.96307373046875,47.3950309753418
